intkod,korhaz,korhaz2,lat,lon
1640,1640 - Petz Aladár Megyei Oktató Kórház,Petz Aladár Megyei Oktató Kórház,47.669321,17.646423
2912,2912 - PTE,PTE,46.074399,18.221118
2531,"2531 - Sárvár, Szent László Kórház","Sárvár, Szent László Kórház",47.249769,16.94479
1407,1407 - Sátoraljaújhelyi Erzsébet Kórház,Sátoraljaújhelyi Erzsébet Kórház,48.397839,21.652078
1871,1871 - Selye János KH,Selye János KH,47.735155,18.168415
2915,2915 - Semmelweis Egyetem,Semmelweis Egyetem,47.482472,19.080001
M280,M280 - Semmelweis Halasi Kórház Nonprofit Kft.,Semmelweis Halasi Kórház Nonprofit Kft.,46.433008,19.47276
A316,A316 - Siklósi Kórház Nonprofit Kft.,Siklósi Kórház Nonprofit Kft.,45.847859,18.297169
2162,2162 - Siófoki Kórház-Rendelőintézet,Siófoki Kórház-Rendelőintézet,46.900837,18.043472
2137,2137 - Somogy Megyei Kaposi Mór Oktató Kórház,Somogy Megyei Kaposi Mór Oktató Kórház,46.358905,17.797698
1663,1663 - Soproni Gyógyközpont,Soproni Gyógyközpont,47.675985,16.598244
N599,N599 - Sz-Sz.-B. megyei Kh.-k és Egyetemi Oktkh,Sz-Sz.-B. megyei Kh.-k és Egyetemi Oktkh,47.95084,21.727271
H573,H573 - Szarvasi Szakorv.Eü.Szolg.KFT.,Szarvasi Szakorv.Eü.Szolg.KFT.,46.86478,20.54922
M290,M290 - Szatmár-Beregi Kh. Gyf. Np Kft,Szatmár-Beregi Kh. Gyf. Np Kft,47.995969,22.513359
1876,1876 - Szent Borbála KH,Szent Borbála KH,47.580062,18.391243
K892,K892 - Szent Erzsébet Kh. Nonprofit Közh.Kft.,Szent Erzsébet Kh. Nonprofit Közh.Kft.,47.49257,19.91022
2889,2889 - Szent Imre Kórház,Szent Imre Kórház,47.468549,19.034135
1928,1928 - Szent Lázár Megyei Kórház,Szent Lázár Megyei Kórház,48.114113,19.811018
N511,N511 - Szent Margit Kórház,Szent Margit Kórház,47.539216,19.031173
H681,H681 - Szent Pantaleon Kh-Ri Dunaújváros,Szent Pantaleon Kh-Ri Dunaújváros,46.964661,18.942839
2049,2049 - Szent Rókus Kórház,Szent Rókus Kórház,47.495535,19.067387
K327,K327 - Szigetvári Eü. Kft.,Szigetvári Eü. Kft.,46.054081,17.787182
N591,N591 - Szigetvári Kórház,Szigetvári Kórház,46.054081,17.787182
M934,M934 - SZPK Dunaújváros,SZPK Dunaújváros,46.964661,18.942839
2880,2880 - Szt János Kh és É-budai Egyesített Kh,Szt János Kh és É-budai Egyesített Kh,47.508331,19.006149
2917,2917 - SZTE Szent-Györgyi A. Klinikai Kp,SZTE Szent-Györgyi A. Klinikai Kp,46.245293,20.147165
M522,M522 - Tapolcai Kórház Nonprofit Kft.,Tapolcai Kórház Nonprofit Kft.,46.883585,17.437359
K560,K560 - Toldy F. Kh-Ri. Np.Kh. Kft.,Toldy F. Kh-Ri. Np.Kh. Kft.,47.172085,19.816263
N593,N593 - Toldy Ferenc Kórház és Rendelőintézet,Toldy Ferenc Kórház és Rendelőintézet,47.172085,19.816263
2073,2073 - Tüdőgyógyintézet Törökbálint,Tüdőgyógyintézet Törökbálint,47.429445,18.914448
C353,C353 - Uro Clin KFT,Uro Clin KFT,46.075108,18.228855
2891,2891 - Uzsoki utcai Kórház,Uzsoki utcai Kórház,47.518532,19.102158
1865,"1865 - Vaszary Kolos KH., Esztergom","Vaszary Kolos KH., Esztergom",47.79095,18.744959
2601,2601 - Veszprém M.Tüdőgyógyintézet Farkasgyepű,Veszprém M.Tüdőgyógyintézet Farkasgyepű,47.212209,17.621165
2734,2734 - Zala Megyei Kórház,Zala Megyei Kórház,46.834587,16.846842
2611,2611 - Zirc Erzsébet Kh-rendelőintézet,Zirc Erzsébet Kh-rendelőintézet,47.26089,17.867834
